account_id,customer_id,account_type,balance,currency,account_open_date
ACC00009,CUST0032,Savings,207050.08,EUR,2025-01-04
ACC00010,CUST0029,Savings,114547.75,EUR,2025-09-16
ACC00011,CUST0033,Savings,196877.1,USD,2023-09-27
ACC00012,CUST0080,Current,459297.82,INR,2025-02-03
ACC00013,CUST0091,Current,477727.74,INR,2024-11-16
ACC00014,CUST0075,Savings,99356.06,INR,2024-07-26
ACC00015,CUST0075,Current,37586.58,INR,2025-06-27
ACC00016,CUST0011,Current,235781.31,INR,2025-12-15
ACC00017,CUST0059,Current,102010.93,USD,2026-07-02
ACC00018,CUST0033,Savings,280786.08,USD,2023-12-22
ACC00019,CUST0061,Savings,158136.44,EUR,2024-06-06
ACC00020,CUST0098,Current,269626.42,EUR,2024-01-14
ACC00021,CUST0064,Current,435170.41,USD,2025-03-20
ACC00022,CUST0008,Savings,448080.24,USD,2026-06-18
ACC00023,CUST0064,Savings,32391.75,INR,2024-09-30
ACC00024,CUST0100,Current,279866.99,INR,2025-02-13
ACC00025,CUST0051,Savings,328147.15,USD,2025-10-27
ACC00026,CUST0057,Savings,71346.22,USD,2024-07-14
ACC00027,CUST0043,Savings,269941.79,USD,2025-08-30
ACC00028,CUST0024,Current,385315.08,USD,2025-05-25
ACC00029,CUST0029,Savings,466214.55,USD,2026-04-30
ACC00030,CUST0008,Savings,139035.66,INR,2024-08-12
ACC00031,CUST0083,Savings,80340.53,INR,2023-10-02
ACC00032,CUST0065,Current,403996.63,USD,2025-01-16
ACC00033,CUST0097,Current,295878.09,USD,2025-10-03
ACC00034,CUST0060,Savings,248067.96,EUR,2025-03-04
ACC00035,CUST0093,Savings,295684.87,USD,2025-07-19
ACC00036,CUST0057,Savings,477925.28,USD,2023-10-14
ACC00037,CUST0033,Savings,483238.32,EUR,2026-06-29
ACC00038,CUST0086,Savings,279034.87,USD,2023-09-26
ACC00039,CUST0064,Savings,287320.55,EUR,2026-09-04
ACC00040,CUST0097,Savings,331039.37,USD,2024-04-10
ACC00041,CUST0085,Current,471642.37,USD,2026-06-24
ACC00042,CUST0095,Savings,394931.68,USD,2025-07-24
ACC00043,CUST0077,Current,102090.63,USD,2024-04-07
ACC00044,CUST0012,Current,453850.14,INR,2026-07-15
ACC00046,CUST0039,Current,405517.31,USD,2025-07-26
ACC00047,CUST0052,Savings,214939.14,EUR,2025-01-17
ACC00048,CUST0014,Current,272759.63,INR,2023-09-18
ACC00049,CUST0007,Savings,65391.5,USD,2025-02-01
ACC00050,CUST0021,Savings,297582.64,EUR,2026-05-13
ACC00051,CUST0017,Savings,234487.86,INR,2024-06-18
ACC00052,CUST0058,Savings,412994.26,USD,2026-03-20
ACC00053,CUST0055,Current,360998.87,USD,2025-08-27
ACC00054,CUST0076,Savings,492516.43,INR,2025-12-14
ACC00055,CUST0017,Savings,297038.69,USD,2024-02-06
ACC00056,CUST0039,Current,447497.41,EUR,2024-08-27
ACC00057,CUST0047,Savings,142325.67,USD,2024-09-26
ACC00058,CUST0071,Current,161067.5,USD,2024-09-28
