transaction_id,account_id,transaction_date,transaction_type,amount,currency,status
TXN000011,ACC00106,2026-06-07,Debit,38467.24,USD,Failed
TXN000012,ACC00104,2026-06-02,Credit,13721.32,USD,Failed
TXN000013,ACC00075,2025-09-12,Debit,71987.55,EUR,Failed
TXN000014,ACC00104,2026-02-10,Debit,87090.55,INR,Completed
TXN000015,ACC00090,2026-07-13,Debit,66360.69,USD,Failed
TXN000016,ACC00062,2026-05-26,Debit,24610.9,INR,Pending
TXN000018,ACC00144,2026-02-12,Debit,25678.93,USD,Pending
TXN000019,ACC00014,2026-01-07,Debit,82051.71,INR,Completed
TXN000020,ACC00134,2025-09-30,Credit,34927.67,EUR,Failed
TXN000021,ACC00047,2026-03-12,Credit,75252.47,USD,Failed
TXN000022,ACC00041,2026-05-25,Credit,78105.73,EUR,Pending
TXN000023,ACC00061,2026-08-22,Credit,56107.57,EUR,Failed
TXN000024,ACC00145,2025-09-29,Debit,12233.25,USD,Pending
TXN000026,ACC00126,2026-07-30,Credit,11713.55,USD,Failed
TXN000027,ACC00150,2025-10-14,Credit,37368.25,USD,Completed
TXN000028,ACC00074,2025-10-03,Debit,67497.6,INR,Failed
TXN000029,ACC00102,2026-08-24,Credit,27653.27,INR,Pending
TXN000030,ACC00127,2026-02-14,Debit,68119.79,EUR,Pending
TXN000031,ACC00081,2025-10-23,Debit,15993.41,INR,Completed
TXN000032,ACC00095,2025-09-14,Credit,80847.26,INR,Failed
TXN000033,ACC00116,2026-05-03,Debit,17053.16,EUR,Failed
TXN000034,ACC00103,2026-03-21,Debit,18185.7,EUR,Completed
TXN000035,ACC00084,2025-11-05,Debit,77350.21,EUR,Completed
TXN000036,ACC00031,2026-08-02,Debit,63640.41,EUR,Pending
TXN000037,ACC00039,2025-10-29,Debit,36425.3,INR,Completed
TXN000038,ACC00077,2026-03-06,Debit,79555.86,EUR,Pending
TXN000039,ACC00094,2026-03-24,Debit,44194.37,EUR,Failed
TXN000040,ACC00114,2026-06-03,Credit,3104.43,EUR,Pending
TXN000041,ACC00059,2025-12-02,Debit,36325.45,USD,Completed
TXN000042,ACC00064,2026-02-24,Debit,97593.74,INR,Failed
TXN000044,ACC00134,2026-05-14,Credit,8453.77,EUR,Pending
TXN000045,ACC00119,2025-10-07,Credit,10510.43,EUR,Failed
TXN000046,ACC00033,2026-08-04,Credit,36132.29,EUR,Completed
TXN000047,ACC00132,2026-06-04,Debit,19223.88,USD,Completed
TXN000048,ACC00119,2026-01-15,Debit,36640.92,USD,Pending
TXN000049,ACC00107,2026-06-14,Credit,34439.32,USD,Pending
TXN000050,ACC00118,2026-08-12,Debit,84414.8,INR,Completed
TXN000051,ACC00069,2026-07-27,Debit,69846.55,USD,Completed
TXN000052,ACC00093,2025-10-06,Credit,21946.64,USD,Pending
TXN000053,ACC00036,2026-08-08,Debit,63186.33,INR,Pending
TXN000055,ACC00129,2026-07-16,Credit,7879.07,USD,Pending
TXN000056,ACC00055,2026-07-17,Debit,4003.32,INR,Completed
TXN000057,ACC00136,2026-04-09,Credit,98362.54,INR,Completed
TXN000058,ACC00034,2025-12-31,Debit,36018.56,INR,Pending
TXN000059,ACC00126,2025-09-09,Credit,81526.14,USD,Failed
TXN000060,ACC00101,2025-12-27,Debit,88136.34,EUR,Failed
TXN000061,ACC00052,2026-03-21,Credit,3363.13,USD,Failed
TXN000062,ACC00138,2026-02-01,Credit,66200.02,USD,Completed
TXN000063,ACC00056,2026-04-06,Credit,44171.43,INR,Completed
TXN000065,ACC00020,2026-08-29,Credit,21951.3,USD,Failed
TXN000066,ACC00104,2026-04-25,Credit,63473.72,INR,Completed
TXN000067,ACC00033,2026-03-08,Credit,98978.64,USD,Failed
TXN000068,ACC00073,2026-04-17,Debit,96951.11,EUR,Failed
TXN000069,ACC00055,2026-08-13,Credit,88946.95,EUR,Pending
TXN000070,ACC00042,2026-03-25,Credit,16300.05,USD,Failed
TXN000071,ACC00013,2025-09-25,Debit,34809.55,INR,Failed
TXN000072,ACC00016,2026-02-26,Debit,87234.16,USD,Pending
TXN000073,ACC00076,2026-05-06,Credit,42194.69,EUR,Failed
TXN000074,ACC00098,2026-08-01,Debit,73928.91,INR,Pending
TXN000075,ACC00088,2026-08-31,Credit,99302.99,INR,Pending
TXN000076,ACC00085,2026-01-09,Credit,41926.79,USD,Completed
TXN000077,ACC00130,2026-06-22,Credit,19567.83,EUR,Failed
TXN000078,ACC00066,2026-01-27,Credit,32177.46,EUR,Pending
TXN000079,ACC00022,2025-09-18,Debit,98363.61,USD,Completed
TXN000080,ACC00134,2025-11-30,Debit,22267.71,INR,Pending
TXN000081,ACC00120,2026-04-26,Debit,58079.47,EUR,Failed
TXN000082,ACC00076,2026-06-28,Debit,92797.02,INR,Failed
TXN000083,ACC00037,2026-09-01,Credit,78579.59,INR,Completed
TXN000084,ACC00128,2026-02-22,Credit,56377.31,EUR,Failed
TXN000085,ACC00064,2026-01-12,Debit,99155.22,INR,Pending
TXN000086,ACC00066,2026-05-12,Credit,85072.68,INR,Failed
TXN000087,ACC00110,2026-02-28,Credit,16613.66,USD,Pending
TXN000088,ACC00099,2026-09-01,Debit,54172.0,INR,Pending
TXN000090,ACC00135,2026-01-04,Debit,33696.54,USD,Failed
TXN000091,ACC00030,2026-04-24,Debit,76306.19,EUR,Completed
TXN000092,ACC00114,2025-10-23,Debit,97727.67,USD,Completed
TXN000093,ACC00063,2026-06-28,Credit,10698.09,USD,Completed
TXN000094,ACC00029,2026-02-11,Credit,49040.58,INR,Completed
TXN000096,ACC00064,2025-12-19,Credit,95673.42,USD,Pending
TXN000097,ACC00080,2026-03-15,Debit,57020.32,EUR,Failed
TXN000098,ACC00018,2026-05-26,Credit,63866.68,EUR,Pending
TXN000099,ACC00142,2026-06-15,Debit,36159.08,USD,Pending
TXN000102,ACC00100,2026-07-17,Debit,24287.23,EUR,Completed
TXN000103,ACC00144,2026-05-03,Debit,22090.48,USD,Completed
TXN000105,ACC00052,2026-02-04,Credit,63998.27,EUR,Failed
TXN000106,ACC00037,2026-07-02,Credit,35210.09,INR,Completed
TXN000107,ACC00062,2026-01-05,Debit,51785.1,EUR,Completed
