account_id,customer_id,account_type,balance,currency,account_open_date
ACC00001,,Savings,166604.81,EUR,2026-01-13
ACC00002,CUST0095,Current,-5000.0,USD,2024-12-01
ACC00003,CUST0084,Current,236145.4,XYZ,2024-12-24
ACC00004,CUST0086,PremiumGold,328750.61,INR,2024-09-15
ACC00006,CUST0042,Savings,116904.21,EUR,2024-07-26
ACC00006,CUST0003,Current,373763.66,EUR,2026-03-02
ACC00007,CUST0063,Current,191907.37,EUR,2026-11-05
ACC00008,CUST0004,Current,51415.53,USD,2025-04-15
ACC00045,CUST0001,Savings,76630.48,USD,2025-05-01
ACC00105,CUST0001,Current,76426.84,USD,2024-01-28
ACC00060,CUST0002,Current,220675.59,EUR,2024-10-21
ACC00083,CUST0005,Savings,326378.08,USD,2026-07-06
ACC00121,CUST0006,Savings,268632.09,EUR,2023-11-18
ACC00125,CUST0006,Savings,343213.72,INR,2025-08-30
