transaction_id,account_id,transaction_date,transaction_type,amount,currency,status
TXN000001,,2025-11-22,Credit,89686.44,USD,Failed
TXN000002,ACC00068,2025-10-30,Debit,-1000.0,INR,Failed
TXN000003,ACC00081,2025-12-20,Credit,0.0,USD,Completed
TXN000004,ACC00136,2026-09-01,Credit,99528.4,ABC,Failed
TXN000005,ACC00025,2026-03-20,Transfer,99164.74,INR,Pending
TXN000007,ACC00080,2026-07-14,Debit,98622.66,INR,Pending
TXN000007,ACC00029,2026-07-11,Credit,46490.41,EUR,Completed
TXN000008,ACC00083,2026-09-16,Credit,2574.01,EUR,Pending
TXN000009,ACC00025,2026-04-28,Debit,99037.31,INR,Unknown
TXN000089,ACC00005,2026-04-07,Debit,31632.99,USD,Pending
TXN000104,ACC00005,2026-08-22,Credit,56407.82,INR,Failed
TXN000323,ACC00005,2026-04-10,Credit,14787.03,INR,Failed
TXN000010,ACC00105,2026-06-05,Debit,81382.95,INR,Completed
TXN000017,ACC00060,2026-03-03,Credit,68643.73,EUR,Completed
TXN000025,ACC00001,2025-12-16,Credit,60805.34,EUR,Failed
TXN000043,ACC00003,2026-06-15,Credit,83023.67,USD,Failed
TXN000054,ACC00002,2026-03-12,Credit,56378.42,EUR,Failed
TXN000064,ACC00121,2026-05-02,Credit,84004.34,USD,Pending
TXN000095,ACC00002,2025-12-20,Debit,65726.74,EUR,Failed
TXN000100,ACC00004,2026-05-29,Debit,11780.47,INR,Failed
TXN000101,ACC00060,2026-07-27,Debit,25510.5,USD,Pending
TXN000112,ACC00004,2025-12-17,Debit,29484.99,EUR,Failed
TXN000116,ACC00006,2026-06-16,Debit,44207.31,INR,Pending
TXN000130,ACC00006,2026-03-17,Credit,18532.43,USD,Failed
TXN000134,ACC00008,2025-09-17,Debit,70720.74,INR,Failed
TXN000147,ACC00007,2026-07-18,Debit,17119.86,EUR,Completed
TXN000153,ACC00002,2026-07-26,Credit,97689.05,EUR,Failed
TXN000157,ACC00125,2026-08-21,Credit,62574.47,EUR,Completed
TXN000160,ACC00105,2025-10-08,Credit,50461.8,EUR,Completed
TXN000176,ACC00045,2026-05-03,Credit,45509.94,USD,Completed
TXN000190,ACC00002,2026-08-15,Debit,60745.06,EUR,Pending
TXN000208,ACC00006,2026-05-04,Debit,56981.54,USD,Failed
TXN000241,ACC00121,2025-10-08,Credit,71307.54,INR,Failed
TXN000246,ACC00007,2026-01-28,Debit,89056.96,USD,Pending
TXN000255,ACC00121,2026-03-02,Credit,76155.86,INR,Completed
TXN000262,ACC00004,2026-06-05,Debit,86097.05,USD,Completed
TXN000280,ACC00007,2026-06-28,Debit,36373.52,INR,Failed
TXN000297,ACC00125,2026-06-26,Credit,62911.52,USD,Failed
TXN000300,ACC00007,2026-07-21,Credit,83815.3,EUR,Failed
TXN000316,ACC00060,2026-02-28,Debit,50197.93,USD,Failed
TXN000325,ACC00105,2025-09-11,Debit,19513.35,INR,Pending
TXN000336,ACC00008,2026-02-06,Debit,12913.26,INR,Completed
TXN000337,ACC00083,2026-07-07,Debit,8113.44,INR,Completed
TXN000374,ACC00003,2025-10-01,Debit,35261.47,USD,Pending
TXN000391,ACC00004,2025-11-17,Debit,33127.19,USD,Completed
TXN000398,ACC00004,2026-06-22,Credit,87729.52,EUR,Pending
TXN000401,ACC00007,2025-09-19,Debit,92182.88,USD,Failed
TXN000412,ACC00083,2026-05-17,Debit,87737.3,EUR,Pending
TXN000426,ACC00060,2025-12-07,Debit,45561.97,USD,Failed
TXN000464,ACC00045,2026-01-31,Debit,68491.85,EUR,Failed
TXN000466,ACC00083,2026-06-05,Credit,81355.7,USD,Completed
TXN000473,ACC00121,2026-04-26,Credit,13726.92,USD,Completed
